YEAR,STATE,RATE,DEATHS
2021,AL,247.5,15173
2021,AK,154.7,1011
2021,AZ,158.3,14550
2021,AR,231,8547
2021,CA,147.8,65471
2021,CO,135.1,8081
2021,CT,136.7,6731
2021,DE,162.7,2183
2021,FL,151.3,50100
2021,GA,195.2,21931
2021,HI,126.5,2651
2021,ID,166.4,3429
2021,IL,169.8,26291
2021,IN,191.2,15209
2021,IA,184.9,7704
2021,KS,176.1,6315
2021,KY,217.5,11697
2021,LA,235.5,12564
2021,ME,168.4,3357
2021,MD,165.2,12138
2021,MA,134,11947
2021,MI,209.6,26664
2021,MN,123.9,8568
2021,MS,255.2,8837
2021,MO,202.4,15713
2021,MT,175.2,2536
2021,NE,160.8,3776
2021,NV,208.1,7352
2021,NH,154.1,2845
2021,NJ,157.5,18508
2021,NM,156.5,4182
2021,NY,162.3,42434
2021,NC,170.9,21302
2021,ND,152.8,1442
2021,OH,204.7,30578
2021,OK,264.2,12158
2021,OR,148.5,7823
2021,PA,180.6,32478
2021,RI,158.7,2359
2021,SC,189.1,12118
2021,SD,153,1695
2021,TN,223.8,18468
2021,TX,180.7,50584
2021,UT,162.4,4275
2021,VT,175.7,1585
2021,VA,167.2,16654
2021,WA,147.7,12789
2021,WV,223,5549
2021,WI,171.7,12791
2021,WY,159.4,1116
2020,AL,237.5,14739
2020,AK,139.8,915
2020,AZ,144.8,14196
2020,AR,222.5,8621
2020,CA,144,66538
2020,CO,128.1,8023
2020,CT,138.4,7110
2020,DE,159.6,2171
2020,FL,143.1,49287
2020,GA,183.7,21116
2020,HI,125,2623
2020,ID,151.9,3191
2020,IL,171.4,27460
2020,IN,183.9,15169
2020,IA,172.9,7499
2020,KS,167,6264
2020,KY,204.5,11345
2020,LA,221.5,12255
2020,ME,146.2,3035
2020,MD,168.3,12624
2020,MA,126.9,11781
2020,MI,205,27127
2020,MN,118.1,8562
2020,MS,245.6,8809
2020,MO,196.7,15934
2020,MT,162.7,2424
2020,NE,143.8,3532
2020,NV,201.3,7285
2020,NH,146.5,2814
2020,NJ,166.3,19744
2020,NM,152.7,4219
2020,NY,183.9,48546
2020,NC,156.2,20373
2020,ND,147.3,1449
2020,OH,196.9,30547
2020,OK,244.1,11758
2020,OR,134,7371
2020,PA,175.7,32936
2020,RI,150.5,2319
2020,SC,170.9,11385
2020,SD,155.2,1820
2020,TN,212,17943
2020,TX,173.9,50281
2020,UT,155.6,4251
2020,VT,167.1,1521
2020,VA,152,15678
2020,WA,134.6,12084
2020,WV,197.8,5123
2020,WI,162.2,12641
2020,WY,160.4,1174
2019,AL,219.6,13448
2019,AK,129.7,843
2019,AZ,134,12587
2019,AR,226.5,8669
2019,CA,136.9,62394
2019,CO,127.7,7762
2019,CT,143.1,7354
2019,DE,154.3,2053
2019,FL,140.1,47144
2019,GA,175.5,19543
2019,HI,120.3,2503
2019,ID,150.7,3061
2019,IL,162,25690
2019,IN,178.8,14555
2019,IA,172.9,7505
2019,KS,166,6140
2019,KY,196.4,10742
2019,LA,207.8,11302
2019,ME,142.4,2940
2019,MD,159.3,11770
2019,MA,127.2,11761
2019,MI,193.8,25547
2019,MN,116.7,8401
2019,MS,226.7,7997
2019,MO,187,15018
2019,MT,157.1,2290
2019,NE,144.9,3540
2019,NV,198.1,6864
2019,NH,143.4,2707
2019,NJ,158,18716
2019,NM,158.2,4245
2019,NY,166.6,43806
2019,NC,154.7,19617
2019,ND,147.7,1448
2019,OH,188.8,29160
2019,OK,231.4,10960
2019,OR,131,7128
2019,PA,172.9,32299
2019,RI,159.3,2404
2019,SC,164,10579
2019,SD,158.1,1840
2019,TN,202.8,16814
2019,TX,163.4,46139
2019,UT,146.5,3882
2019,VT,151.6,1368
2019,VA,149.1,15062
2019,WA,134.8,11862
2019,WV,197.4,5087
2019,WI,158.8,12241
2019,WY,150.4,1067
2018,AL,224.7,13473
2018,AK,129.7,815
2018,AZ,136.4,12455
2018,AR,217.4,8171
2018,CA,139.7,62547
2018,CO,124.3,7370
2018,CT,142.1,7205
2018,DE,159.1,2030
2018,FL,143.1,47027
2018,GA,175.8,18986
2018,HI,125.6,2570
2018,ID,157.9,3122
2018,IL,163.9,25755
2018,IN,180.7,14532
2018,IA,165.1,7185
2018,KS,158.9,5823
2018,KY,198.3,10697
2018,LA,212.2,11340
2018,ME,147,2965
2018,MD,161.9,11683
2018,MA,131.5,12036
2018,MI,195,25354
2018,MN,119,8408
2018,MS,222.1,7758
2018,MO,188.4,14893
2018,MT,163.2,2347
2018,NE,145.7,3539
2018,NV,190.7,6393
2018,NH,151,2786
2018,NJ,163,19047
2018,NM,148.2,3935
2018,NY,171.9,44499
2018,NC,155.5,19222
2018,ND,140,1361
2018,OH,191.1,29220
2018,OK,228.5,10634
2018,OR,128.4,6820
2018,PA,176.1,32768
2018,RI,158.9,2411
2018,SC,167,10464
2018,SD,156.3,1796
2018,TN,202.4,16417
2018,TX,170,46763
2018,UT,146.4,3749
2018,VT,150.5,1338
2018,VA,147.9,14600
2018,WA,135.4,11655
2018,WV,196.4,5007
2018,WI,157.8,12061
2018,WY,152.7,1054
2017,AL,223.2,13110
2017,AK,135,814
2017,AZ,141.9,12398
2017,AR,223.8,8270
2017,CA,142.9,62797
2017,CO,122.7,7060
2017,CT,141.6,7138
2017,DE,158.4,1990
2017,FL,145.8,46440
2017,GA,175.8,18389
2017,HI,129.8,2575
2017,ID,162.4,3084
2017,IL,163.3,25394
2017,IN,183.2,14445
2017,IA,167.4,7180
2017,KS,157.9,5723
2017,KY,195.9,10343
2017,LA,214.4,11260
2017,ME,143.5,2844
2017,MD,164.5,11653
2017,MA,134.6,12140
2017,MI,196.1,25187
2017,MN,119.1,8230
2017,MS,231.6,7944
2017,MO,191.1,14820
2017,MT,155,2164
2017,NE,149.3,3581
2017,NV,199.3,6417
2017,NH,149.7,2721
2017,NJ,162.3,18840
2017,NM,151.4,3896
2017,NY,171.2,44092
2017,NC,156.5,18808
2017,ND,137.8,1326
2017,OH,186.2,28008
2017,OK,237.2,10772
2017,OR,134,6942
2017,PA,176,32312
2017,RI,155.7,2339
2017,SC,172,10418
2017,SD,150.1,1710
2017,TN,202.2,16019
2017,TX,169.2,45346
2017,UT,150.2,3749
2017,VT,152.5,1332
2017,VA,154.5,14861
2017,WA,138.8,11582
2017,WV,192,4849
2017,WI,157.6,11860
2017,WY,148.9,1001
2016,AL,222.5,12832
2016,AK,141,831
2016,AZ,138.9,11957
2016,AR,223.7,8090
2016,CA,143.1,61573
2016,CO,129.8,7277
2016,CT,144.3,7051
2016,DE,163.2,1974
2016,FL,146.2,45659
2016,GA,179,18143
2016,HI,127,2488
2016,ID,160,2969
2016,IL,165.7,25013
2016,IN,180.6,13952
2016,IA,162.8,6937
2016,KS,159.2,5672
2016,KY,203,10519
2016,LA,213.1,10943
2016,ME,149.5,2907
2016,MD,164.3,11390
2016,MA,134.8,11921
2016,MI,200.6,25304
2016,MN,114.9,7825
2016,MS,233.1,7865
2016,MO,192.1,14579
2016,MT,154.4,2138
2016,NE,140.3,3322
2016,NV,205.9,6457
2016,NH,151.1,2631
2016,NJ,164.7,18597
2016,NM,150.6,3800
2016,NY,177.8,44076
2016,NC,155.8,18266
2016,ND,140.9,1338
2016,OH,185.1,27410
2016,OK,228.2,10209
2016,OR,135,6968
2016,PA,176.2,31990
2016,RI,152.4,2256
2016,SC,173.8,10195
2016,SD,153.4,1729
2016,TN,198.8,15429
2016,TX,167.7,43772
2016,UT,150,3636
2016,VT,158.8,1366
2016,VA,150.7,14124
2016,WA,136.1,11161
2016,WV,191,4767
2016,WI,154.9,11526
2016,WY,157.8,1051
2015,AL,229.7,12981
2015,AK,154.1,846
2015,AZ,138.8,11458
2015,AR,223.2,7938
2015,CA,145.6,61289
2015,CO,128.4,7009
2015,CT,147.8,7205
2015,DE,165.2,1940
2015,FL,149.8,45441
2015,GA,180.2,17769
2015,HI,135.6,2605
2015,ID,156.4,2825
2015,IL,171.5,25652
2015,IN,182.3,13948
2015,IA,160.9,6813
2015,KS,158.5,5624
2015,KY,197.8,10077
2015,LA,212.1,10665
2015,ME,157.3,3009
2015,MD,169.3,11481
2015,MA,138.5,12130
2015,MI,198.9,24794
2015,MN,116.6,7844
2015,MS,240.5,7969
2015,MO,197.9,14808
2015,MT,155.8,2104
2015,NE,154.5,3591
2015,NV,200.9,6114
2015,NH,149,2571
2015,NJ,166.7,18647
2015,NM,142.4,3508
2015,NY,181.6,44450
2015,NC,162.4,18474
2015,ND,142.4,1323
2015,OH,191.7,28069
2015,OK,234,10310
2015,OR,136.1,6859
2015,PA,177.8,32042
2015,RI,160.4,2371
2015,SC,177.8,10092
2015,SD,150.9,1711
2015,TN,207.3,15730
2015,TX,171.6,43298
2015,UT,152.9,3598
2015,VT,152.5,1311
2015,VA,154.2,14077
2015,WA,137.6,11025
2015,WV,191.3,4727
2015,WI,156,11473
2015,WY,159.4,1030
2014,AL,224,12461
2014,AK,146.6,782
2014,AZ,136.4,10805
2014,AR,217.5,7581
2014,CA,142.2,58189
2014,CO,130.3,6900
2014,CT,145.6,7018
2014,DE,168.7,1921
2014,FL,151.3,44511
2014,GA,179.7,17107
2014,HI,136.7,2528
2014,ID,152.8,2676
2014,IL,169.7,25024
2014,IN,182.7,13764
2014,IA,157.3,6615
2014,KS,157.4,5479
2014,KY,200.5,10013
2014,LA,216.3,10647
2014,ME,147.9,2776
2014,MD,167.8,11135
2014,MA,137.1,11817
2014,MI,200.9,24692
2014,MN,116.5,7659
2014,MS,229.9,7538
2014,MO,194.7,14338
2014,MT,147.8,1957
2014,NE,143,3296
2014,NV,197.2,5761
2014,NH,147.9,2464
2014,NJ,166.3,18319
2014,NM,143.3,3424
2014,NY,178.3,43116
2014,NC,158.7,17592
2014,ND,149.2,1381
2014,OH,186.4,27000
2014,OK,228.1,9868
2014,OR,132.1,6524
2014,PA,175.8,31353
2014,RI,160.8,2341
2014,SC,181.1,9964
2014,SD,154.6,1704
2014,TN,205.6,15223
2014,TX,169.9,41479
2014,UT,151,3431
2014,VT,156.6,1311
2014,VA,156.1,13874
2014,WA,137.2,10710
2014,WV,192.9,4692
2014,WI,155.1,11229
2014,WY,162.2,1035
